"Altezza" "Sesso" "Scarpe" "Numero" "Dvds" "Ora_Letto" "Ora_Sveglia" "Taglio" "Lavoro" "Bevanda"
"444" 68 "F" 10 7 15 2.5 9 40 0 "water"
"445" 66 "F" 15 7 20 1 7 16 25 "pop"
"446" 75 "M" 4 2 20 3.5 9.5 5 11 "water"
"447" 69 "M" 3 7 30 -0.5 9.5 20 0 "pop"
"448" 63 "F" 12 7 5 0.5 8.5 25 12 "milk"
"449" 65 "F" 20 7 8 2 7.5 70 11 "milk"
"450" 62 "F" 10 5 40 -1 6.5 16 0 "milk"
"451" 70 "M" 6 7 10 2 7.5 11 0 "pop"
"452" 60 "F" 15 2 1 2.5 9.5 91 0 "water"
"453" 70 "M" 3 5 10 0 7 9 12 "pop"
"454" 64 "F" 20 3 40 0.5 9 20 0 "milk"
"455" 64 "F" 20 2 15 -0.5 7 30 0 "milk"
"456" 65 "F" 10 7 25 1.5 10.5 30 5 "pop"
"457" 63 "F" 30 6 20 1 11 50 15 "water"
"458" 74 "M" 5 4 67 1.5 10.5 14 20 "water"
"459" 76 "M" 10 7 20 5.5 9.5 12 20 "milk"
"460" 70 "F" 35 8 25 0 8.5 85 20 "pop"
"461" 65 "F" 15 2 20 1.5 8 13 10 "water"
"462" 73 "M" 6 9 13 2 8 5 15 "pop"
"463" 63 "F" 25 7 12 0 6.5 0 42 "water"
"464" 71 "F" 20 9 15 1 8 60 0 "pop"
"465" 64 "F" 15 7 30 1 7.5 35 0 "water"
"466" 62 "F" 20 3 36 1.5 7 15 0 "water"
"467" 67 "F" 25 3 50 -0.5 9.5 50 17 "pop"
"468" 67 "F" 21 3 10 0 9 10 0 "milk"
"469" 64 "F" 15 2 21 -1.5 6.5 35 35 "water"
"470" 63 "F" 30 7 7 3 8.5 100 15 "water"
"471" 62 "F" 18 8 35 -0.5 7 52 0 "water"
"472" 70 "F" 25 7 2 1.5 7.5 40 20 "water"
"473" 67 "F" 15 9 8 1.5 9.5 80 15 "pop"
"474" 67 "F" 16 8 30 1 7 30 0 "pop"
"475" 66 "M" 6 7 33 3.5 11.5 15 15 "milk"
"476" 70 "M" 7 2 100 1.5 10 15 15 "water"
"477" 72 "M" 10 7 10 3.5 9.5 10 5 "milk"
"478" 67.5 "F" 18 7 30 2 8 30 20 "pop"
"479" 70 "M" 3 3 30 0 8 0 11 "pop"
"480" 74 "M" 10 5 40 0 8 0 40 "water"
"481" 63 "F" 25 7 13 -0.5 6 15 0 "water"
"482" 62 "F" 15 8 9 2.5 9.5 113 0 "water"
"483" 64 "F" 27 2 8 3.5 12.5 60 25 "pop"
"484" 69 "F" 20 7 20 2.5 7 12 9 "pop"
"485" 64 "F" 15 9 20 -0.5 7.5 40 15 "pop"
"486" 75.5 "M" 13 5 15 1.5 11 10 0 "pop"
"487" 68 "F" 10 4 25 1.5 8.5 20 7.5 "water"
"488" 74 "M" 7 4 36 0 10 7 0 "water"
"489" 64 "F" 30 4 45 2 10 30 0 "water"
"490" 68 "F" 12 10 150 1.5 10 20 12 "water"
"491" 67 "F" 65 1 35 -0.5 10.5 17 10 "water"
"492" 69 "F" 34 7 6 2.5 6 0 24 "pop"
"493" 63 "F" 10 7 35 -0.5 8 30 0 "pop"
"494" 66 "F" 25 8 5 1 10 18 0 "water"
"495" 61 "F" 5 2 30 1 7 20 40 "pop"
"496" 62 "M" 3 6 10 -1.5 8.5 17 5 "water"
"497" 66 "M" 5 5 20 0.5 8 15 20 "water"
"498" 65 "F" 26 3 65 1.5 8 126 6 "water"
"499" 73 "M" 5 1 20 0 7.5 10 8 "milk"
"500" 70 "M" 5 6 1 0.5 6.5 5 20 "water"
"501" 71 "M" 9 7 14 1 6.5 5 10 "water"
"502" 61 "F" 30 8 20 1 12 100 0 "water"
"503" 63 "F" 50 2 25 3 12 65 0 "water"
"504" 64 "F" 15 5 30 2.5 10 50 10 "pop"
"505" 65 "F" 8 8 10 4 11 65 0 "pop"
"506" 65 "F" 12 7 10 1.5 8.5 12 10 "water"
"507" 70 "M" 29 7 50 4.5 10.5 0 0 "water"
"508" 65 "F" 20 2 100 0.5 8.5 75 17.5 "water"
"509" 63 "F" 12 9 4 1.5 10 70 0 "water"
"510" 66 "F" 5 4 12 2 9 30 0 "water"
"511" 68 "F" 53 7 21 -0.5 8 14 12 "pop"
"512" 61 "F" 6 7 5 0 7.5 20 0 "water"
"513" 71.75 "M" 5 5 15 1 13 15 21 "milk"
"514" 66 "F" 10 6 20 0.5 8.5 35 0 "water"
"515" 68 "F" 30 4 15 0 8.5 45 0 "water"
"516" 65 "F" 5 4 50 0 8 30 15 "water"
"517" 60 "F" 15 7 15 1 10 15 12 "pop"
"518" 71 "M" 8 4 25 2 8 13 10 "water"
"519" 72 "M" 3 2 5 1 9 0 10 "pop"
"520" 73 "M" 3 7 15 1 10.5 0 15 "water"
"521" 64 "F" 10 6 15 -0.5 7.5 8.99 10 "pop"
"522" 69 "F" 70 5 30 0.5 9.5 14 30 "water"
"523" 64 "F" 15.5 8 5 1 7.5 85 0 "water"
"524" 72.5 "M" 5 6 25 0.5 10 12 12.5 "pop"
"525" 66 "F" 15 3 10 2 10.5 15 0 "pop"
"526" 67 "F" 6 7 150 -2 7 10 32.5 "water"
"527" 67 "F" 9 2 13 2.5 8 16 25 "pop"
"528" 66 "M" 5 7 8 0.5 8 0 5 "water"
"529" 72 "M" 5 10 0 2 8 16 0 "milk"
"530" 70 "M" 5 10 24 3 10.5 0 10 "water"
"531" 72 "M" 2 5 15 2.5 8 15 30 "pop"
"532" 64 "F" 10 5 15 2 8 0 6 "pop"
"533" 65 "M" 5 7 5 3 11.5 12 12.5 "water"
"534" 71 "M" 6 9 200 1.5 8.5 11 14 "milk"
"535" 71 "M" 4 4 50 -0.5 12 14 16 "pop"
"536" 70 "M" 6 4 40 1.5 9 0 0 "water"
"537" 71 "M" 4 7 27.5 0.5 8.5 17 15 "pop"
"538" 67 "F" 28 2 10 2 9 0 13 "water"
"539" 61 "F" 20 8 18 0.5 8 75 9 "water"
"540" 67 "F" 7 6 3 -1 8 20 0 "milk"
"541" 64 "F" 10 4 15 0.5 8 14.95 11 "water"
"542" 67 "F" 12 8 13 4 9 40 0 "water"
"543" 66.5 "F" 13 5 48 2.5 9 15 20 "water"
"544" 63 "F" 10 3 6 1.5 11 11 0 "water"
"545" 66 "F" 24 3 12 -1 8 30 20 "water"
"546" 57.75 "F" 40 7 10 0 6.8 10 17.5 "water"
"547" 66 "F" 15 8 15 0.5 10 7 15 "pop"
"548" 64 "F" 25 5 1 1.5 12.5 25 0 "pop"
"549" 68 "F" 20 7 30 2 8.5 25 12.5 "pop"
"550" 67 "F" 10 3 2 0 7 35 10 "pop"
"551" 68 "F" 8 7 3 -0.5 7.5 0 20 "water"
"552" 65 "F" 15 5 60 4.5 11 25 25 "pop"
"553" 74 "M" 4 2 70 1.5 6.5 20 7 "water"
"554" 72 "M" 7 7 40 3.5 12.5 15 10 "milk"
"555" 68 "F" 30 6 4 0.5 9.5 20 15 "water"
"556" 71 "F" 15 8 25 -1 9 0 0 "water"
"557" 66 "F" 25 5 1 -1.5 9 0 12 "pop"
"558" 67 "F" 10 7 10 0 9.5 0 10 "pop"
"559" 68 "M" 3 5 15 2.5 7.7 15 20 "pop"
